id;gene;pval;adjPVal
201263_at;TARS;0.000233311320984707;0.000941833430723543
211687_x_at;KIR3DL1;0.052529388360368;0.105092400909157
208198_x_at;KIR2DS1;0.649741897755559;0.749706802560221
216552_x_at;KIR2DS4;0.00392904935485044;0.0114768633257804
208179_x_at;KIR2DL3;0.427585434108699;0.556609027199808
208894_at;HLA-DRA;0.162666550657315;0.262056430252242
217001_x_at;HLA-DOA;0.10103529505792;0.179781277941092
205671_s_at;HLA-DOB;0.11262870613119;0.195975516221592
211990_at;HLA-DPA1;0.0931872235905878;0.168697751133729
208426_x_at;KIR2DL4;0.275888739080758;0.399116062946961
202540_s_at;HMGCR;0.000132746751396927;0.000566803239741932
205067_at;IL1B;0.0758456820761373;0.142654237598295
63305_at;PKNOX2;3.19109578632625e-07;2.65967196804339e-06
202537_s_at;CHMP2B;6.24017058741671e-07;4.82166951074683e-06
203416_at;CD53;0.907230844137656;0.938547477158895
207664_at;ADAM2;0.0898128612144882;0.163655500787572
221355_at;CHRNG;0.0582659879993061;0.114606888289384
212920_at;REST;0.85545557548165;0.903514877475001
219910_at;FICD;0.37704336697248;0.505934976268106
219356_s_at;CHMP5;0.000364085092126998;0.00140748046436974
208188_at;KRT9;0.0107067962396638;0.0273734900998521
209541_at;IGF1;0.00385483243605032;0.011291225843285
207849_at;IL2;0.583030058012579;0.69532224692923
211918_x_at;PAPPA2;0.0377861208387039;0.0798651027431067
206660_at;IGLL1;0.0728232882932548;0.13794496215792
214974_x_at;CXCL5;0.0682654780154059;0.130837805633697
217212_s_at;IL9R;0.892400442309638;0.928782990496676
206769_at;TMSB4Y;0.244149852684586;0.362850217155574
220068_at;VPREB3;0.0451694047551701;0.0927216430696582
212895_s_at;ABR;0.111307166902111;0.194054134794337
210044_s_at;LYL1;0.807821912477487;0.870368495222216
208487_at;LMX1B;0.375872773368432;0.5049061365265
201792_at;AEBP1;3.784963106239e-08;4.15470619680742e-07
207805_s_at;PSMD9;0.256019043667462;0.376204758336931
204931_at;TCF21;0.376634714995049;0.505712298020417
213049_at;RALGAPA1;0.000467337372835934;0.00175771715860254
203509_at;SORL1;0.202462887327296;0.313166281496523
212807_s_at;SORT1;0.00305460256522384;0.00923546342694762
201189_s_at;ITPR3;3.15228074049856e-12;1.49279597794368e-10
200850_s_at;AHCYL1;0.00120494660423965;0.00407692623713238
201692_at;SIGMAR1;0.873419256269959;0.915757090060971
218990_s_at;SPRR3;0.678373949549283;0.773664888647043
203759_at;ST3GAL4;6.55532206847913e-07;5.03406858108883e-06
220634_at;TBX4;0.0568613115185287;0.112285597315534
206128_at;ADRA2C;1.8388653952527e-08;2.18116652480544e-07
200943_at;HMGN1;0.432839041944376;0.56171255959964
215776_at;INSRR;0.693910121117235;0.786087743222877
205066_s_at;ENPP1;8.54536441290458e-05;0.000383743340122605
205403_at;IL1R2;9.35923843868995e-11;2.56599120527416e-09
203064_s_at;FOXK2;0.0411654756930721;0.0857751295191313
204773_at;IL11RA;1.34695708271678e-19;4.20991436203129e-16
206172_at;IL13RA2;0.00540559497979529;0.0151492374887695
221658_s_at;IL21R;0.515004122124469;0.636852772977262
213874_at;SERPINA4;0.391942495761654;0.521283519363
216699_s_at;KLK1;4.94551175357121e-18;4.12191919620982e-15
209351_at;KRT14;1.38804178316282e-13;1.15688655820677e-11
207381_at;ALOX12B;6.92213136733758e-08;7.0237797762576e-07
207935_s_at;KRT13;0.00225179509581492;0.00707157555585986
201352_at;YME1L1;2.13837076392319e-06;1.44429558566006e-05
200650_s_at;LDHA;2.86149320887689e-06;1.85840977129241e-05
218333_at;DERL2;1.25281955810911e-05;6.86962724363164e-05
207930_at;LCN1;0.241362577599914;0.35935631120092
205910_s_at;CEL;0.99612162358492;0.996759447579532
221619_s_at;MTCH1;0.264748506109436;0.386203523222402
203276_at;LMNB1;0.000666646072427737;0.0024018470309774
206261_at;ZNF239;0.774146009189227;0.846233575840143
219862_s_at;NARF;5.91958255423916e-07;4.59954139795512e-06
212408_at;TOR1AIP1;0.104165181253783;0.184249164690831
205284_at;URB2;0.00117260483957851;0.00397934465374877
213847_at;PRPH;0.00201838261910356;0.00642408846844011
216952_s_at;LMNB2;1.98070321181831e-07;1.74140306287992e-06
220196_at;MUC16;0.0377023924110184;0.0797420588601847
202752_x_at;SLC7A8;3.79447988088233e-13;2.72635560176959e-11
37278_at;TAZ;0.00942578584822556;0.0245298032211732
212647_at;RRAS;3.26834328011349e-05;0.000162146141618964
220402_at;TP53AIP1;1.18975759398173e-07;1.11085507393275e-06
